,fit_time,score_time,test_roc_auc,train_roc_auc,test_f1,train_f1,test_balanced_accuracy,train_balanced_accuracy,model,subject,session,task,acquisition,run,processing,space,recording,split,description
271,3.876833915710449,0.03668069839477539,0.8387978142076502,0.9445807314897413,0.5384615384615384,0.7058823529411764,0.7342896174863388,0.793571587867975,CBLE,A08,,overt,,,ica,,,,
272,1.0854318141937256,0.03508448600769043,0.7718579234972678,0.946364852809991,0.28571428571428575,0.7192982456140351,0.5758196721311475,0.8244313113291704,CBLE,A08,,overt,,,ica,,,,
273,1.2005422115325928,0.03795027732849121,0.9398907103825136,0.9325936663693132,0.4,0.7047619047619047,625,0.798756690454951,CBLE,A08,,overt,,,ica,,,,
274,1.6067168712615967,0.03773808479309082,0.7013888888888888,0.9495415393164768,0.23529411764705882,0.7387387387387386,0.5583333333333333,0.8294248402333981,CBLE,A08,,overt,,,ica,,,,
275,6.407800197601318,0.03634047508239746,0.8122205663189269,0.9379934210526316,0.5714285714285713,0.7130434782608696,0.739940387481371,0.818640350877193,CBLE,A08,,overt,,,ica,,,,
276,4.120894193649292,0.03583407402038574,0.912568306010929,0.938113291703836,0.6956521739130435,0.75,0.8087431693989071,0.8378400981266726,wCBLE,A08,,overt,,,ica,,,,
277,5.486609220504761,0.03756070137023926,0.8387978142076502,0.9587421944692239,0.45454545454545453,0.7307692307692307,0.6673497267759563,0.8105207404103478,wCBLE,A08,,overt,,,ica,,,,
278,3.341524600982666,0.03882431983947754,0.8456284153005464,0.9491525423728815,0.4210526315789474,0.7289719626168225,0.6420765027322404,0.8157058429973238,wCBLE,A08,,overt,,,ica,,,,
279,3.5000436305999756,0.03840303421020508,0.9658469945355191,0.9362176628010704,0.4,0.6930693069306931,625,0.7850970115967886,wCBLE,A08,,overt,,,ica,,,,
280,3.4982919692993164,0.0353541374206543,0.6902777777777778,0.9594887468741317,0.3333333333333333,0.7678571428571428,0.6,0.848013337038066,wCBLE,A08,,overt,,,ica,,,,
281,3.300626754760742,0.03746533393859863,0.8986587183308494,0.9452850877192982,0.6666666666666666,0.743801652892562,0.793591654247392,0.8486842105263157,wCBLE,A08,,overt,,,ica,,,,
282,0.10549569129943848,0.01739192008972168,0.9426229508196722,0.9870651204281892,0.8571428571428571,0.8623853211009174,875,0.8933708742194469,tLDA,A08,,overt,,,ica,,,,
283,0.10944747924804688,0.01759481430053711,0.9193989071038251,0.9943688670829617,0.7272727272727272,0.8703703703703702,0.8169398907103824,0.8950156110615521,tLDA,A08,,overt,,,ica,,,,
284,0.0907588005065918,0.0173494815826416,0.8237704918032787,0.99314228367529,0.5,0.8828828828828829,0.6666666666666666,0.9103200267618199,tLDA,A08,,overt,,,ica,,,,
285,0.10113978385925293,0.017088890075683594,0.8893442622950819,0.9878456735057983,0.5,0.8727272727272728,0.6666666666666666,0.9018454504906335,tLDA,A08,,overt,,,ica,,,,
286,0.09740614891052246,0.017638444900512695,0.8055555555555556,0.9942761878299529,0.25,0.909090909090909,0.5666666666666667,0.922089469297027,tLDA,A08,,overt,,,ica,,,,
287,0.09796762466430664,0.017810344696044922,0.9552906110283159,0.9901315789473685,0.7777777777777778,0.882882882882883,0.8181818181818181,0.9050438596491228,tLDA,A08,,overt,,,ica,,,,
288,0.6944198608398438,0.02880573272705078,0.5548780487804879,0.9649846891226201,125,0.7352941176470588,0.4771341463414634,0.8230595127146851,CBLE,A08,,covert,,,ica,,,,
289,1.126957893371582,0.027484655380249023,0.8048780487804879,0.933367902514908,0.6153846153846153,0.6875,0.7613240418118467,0.7796214674617579,CBLE,A08,,covert,,,ica,,,,
290,0.46343231201171875,0.02820277214050293,0.7142857142857142,0.9402385273528648,0.0,0.6562500000000001,0.4634146341463415,0.7640005185377237,CBLE,A08,,covert,,,ica,,,,
291,1.0495140552520752,0.028360366821289062,0.8606271777003485,0.9366087632875293,0.25,0.6153846153846153,0.5714285714285714,0.7459165154264973,CBLE,A08,,covert,,,ica,,,,
292,1.596022129058838,0.030726194381713867,0.671875,0.9230259671436142,0.18181818181818182,0.676923076923077,0.5375,0.7825914149443561,CBLE,A08,,covert,,,ica,,,,
293,1.0361459255218506,0.02870011329650879,0.58125,0.9475357710651828,0.0,0.7042253521126761,475,0.815779014308426,CBLE,A08,,covert,,,ica,,,,
294,3.205388069152832,0.02929377555847168,0.5853658536585366,0.9637864465450672,0.14285714285714288,0.7076923076923075,0.5015243902439024,0.7984955398748502,wCBLE,A08,,covert,,,ica,,,,
295,2.428696632385254,0.028289318084716797,0.7700348432055749,0.9402385273528648,0.5454545454545454,0.6969696969696969,0.7020905923344948,0.7903163080114078,wCBLE,A08,,covert,,,ica,,,,
